2021-04-01 01:23:43 status unpacked libncurses6:amd64 6.2-0ubuntu2
2021-04-01 01:23:43 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2021-04-01 01:23:43 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2021-04-01 01:23:43 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2021-04-01 01:23:43 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2021-04-01 01:23:43 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2021-04-01 01:23:43 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2021-04-01 01:23:43 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2021-04-01 01:23:43 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2021-04-01 01:23:43 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2021-04-01 01:23:43 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2021-04-01 01:23:43 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2021-04-01 01:23:43 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2021-04-01 01:23:43 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2021-04-01 01:23:43 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2021-04-01 01:23:43 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2021-04-01 01:23:43 install libpcre2-8-0:amd64 <none> 10.34-7
2021-04-01 01:23:43 status half-installed libpcre2-8-0:amd64 10.34-7
2021-04-01 01:23:43 status unpacked libpcre2-8-0:amd64 10.34-7
2021-04-01 01:23:43 install libpcre3:amd64 <none> 2:8.39-12build1
2021-04-01 01:23:43 status half-installed libpcre3:amd64 2:8.39-12build1
2021-04-01 01:23:43 status unpacked libpcre3:amd64 2:8.39-12build1
2021-04-01 01:23:43 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2021-04-01 01:23:43 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2021-04-01 01:23:43 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2021-04-01 01:23:43 install libselinux1:amd64 <none> 3.0-1build2
2021-04-01 01:23:43 status half-installed libselinux1:amd64 3.0-1build2
2021-04-01 01:23:43 status unpacked libselinux1:amd64 3.0-1build2
2021-04-01 01:23:43 install libsemanage-common:all <none> 3.0-1build2
2021-04-01 01:23:43 status half-installed libsemanage-common:all 3.0-1build2
2021-04-01 01:23:43 status unpacked libsemanage-common:all 3.0-1build2
2021-04-01 01:23:43 install libsemanage1:amd64 <none> 3.0-1build2
2021-04-01 01:23:43 status half-installed libsemanage1:amd64 3.0-1build2
2021-04-01 01:23:43 status unpacked libsemanage1:amd64 3.0-1build2
2021-04-01 01:23:43 install libsepol1:amd64 <none> 3.0-1
2021-04-01 01:23:43 status half-installed libsepol1:amd64 3.0-1
2021-04-01 01:23:43 status unpacked libsepol1:amd64 3.0-1
2021-04-01 01:23:43 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2021-04-01 01:23:43 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:43 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:43 install libss2:amd64 <none> 1.45.5-2ubuntu1
2021-04-01 01:23:43 status half-installed libss2:amd64 1.45.5-2ubuntu1
2021-04-01 01:23:43 status unpacked libss2:amd64 1.45.5-2ubuntu1
2021-04-01 01:23:43 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2021-04-01 01:23:43 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2021-04-01 01:23:43 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2021-04-01 01:23:43 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2021-04-01 01:23:43 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2021-04-01 01:23:43 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2021-04-01 01:23:43 install libudev1:amd64 <none> 245.4-4ubuntu3
2021-04-01 01:23:43 status half-installed libudev1:amd64 245.4-4ubuntu3
2021-04-01 01:23:43 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-04-01 01:23:43 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2021-04-01 01:23:43 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:43 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:43 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2021-04-01 01:23:43 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2021-04-01 01:23:43 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2021-04-01 01:23:43 install login:amd64 <none> 1:4.8.1-1ubuntu5
2021-04-01 01:23:43 status half-installed login:amd64 1:4.8.1-1ubuntu5
2021-04-01 01:23:43 status unpacked login:amd64 1:4.8.1-1ubuntu5
2021-04-01 01:23:43 install logsave:amd64 <none> 1.45.5-2ubuntu1
2021-04-01 01:23:43 status half-installed logsave:amd64 1.45.5-2ubuntu1
2021-04-01 01:23:43 status unpacked logsave:amd64 1.45.5-2ubuntu1
2021-04-01 01:23:43 install lsb-base:all <none> 11.1.0ubuntu2
2021-04-01 01:23:43 status half-installed lsb-base:all 11.1.0ubuntu2
2021-04-01 01:23:43 status unpacked lsb-base:all 11.1.0ubuntu2
2021-04-01 01:23:43 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-04-01 01:23:43 status half-configured mawk:amd64 1.3.4.20200120-2
2021-04-01 01:23:43 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-01 01:23:43 status half-installed mawk:amd64 1.3.4.20200120-2
2021-04-01 01:23:43 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-01 01:23:43 install mount:amd64 <none> 2.34-0.1ubuntu9
2021-04-01 01:23:43 status half-installed mount:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:43 status unpacked mount:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:43 install ncurses-base:all <none> 6.2-0ubuntu2
2021-04-01 01:23:43 status half-installed ncurses-base:all 6.2-0ubuntu2
2021-04-01 01:23:44 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-04-01 01:23:44 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2021-04-01 01:23:44 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2021-04-01 01:23:44 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2021-04-01 01:23:44 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2021-04-01 01:23:44 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2021-04-01 01:23:44 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2021-04-01 01:23:44 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2021-04-01 01:23:44 status half-configured perl-base:amd64 5.30.0-9build1
2021-04-01 01:23:44 status unpacked perl-base:amd64 5.30.0-9build1
2021-04-01 01:23:44 status half-installed perl-base:amd64 5.30.0-9build1
2021-04-01 01:23:44 status unpacked perl-base:amd64 5.30.0-9build1
2021-04-01 01:23:44 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2021-04-01 01:23:44 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2021-04-01 01:23:44 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2021-04-01 01:23:44 install sed:amd64 <none> 4.7-1
2021-04-01 01:23:44 status half-installed sed:amd64 4.7-1
2021-04-01 01:23:44 status unpacked sed:amd64 4.7-1
2021-04-01 01:23:44 install sensible-utils:all <none> 0.0.12+nmu1
2021-04-01 01:23:44 status half-installed sensible-utils:all 0.0.12+nmu1
2021-04-01 01:23:44 status unpacked sensible-utils:all 0.0.12+nmu1
2021-04-01 01:23:44 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2021-04-01 01:23:44 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-04-01 01:23:44 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-04-01 01:23:44 install tar:amd64 <none> 1.30+dfsg-7
2021-04-01 01:23:44 status half-installed tar:amd64 1.30+dfsg-7
2021-04-01 01:23:44 status unpacked tar:amd64 1.30+dfsg-7
2021-04-01 01:23:44 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2021-04-01 01:23:44 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:44 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2021-04-01 01:23:44 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2021-04-01 01:23:44 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-04-01 01:23:44 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-04-01 01:23:44 startup packages configure
2021-04-01 01:23:44 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-04-01 01:23:44 status unpacked lsb-base:all 11.1.0ubuntu2
2021-04-01 01:23:44 status half-configured lsb-base:all 11.1.0ubuntu2
2021-04-01 01:23:44 status installed lsb-base:all 11.1.0ubuntu2
2021-04-01 01:23:44 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2021-04-01 01:23:44 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-04-01 01:23:44 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2021-04-01 01:23:44 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-04-01 01:23:44 configure libsemanage-common:all 3.0-1build2 <none>
2021-04-01 01:23:44 status unpacked libsemanage-common:all 3.0-1build2
2021-04-01 01:23:44 status half-configured libsemanage-common:all 3.0-1build2
2021-04-01 01:23:44 status installed libsemanage-common:all 3.0-1build2
2021-04-01 01:23:44 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2021-04-01 01:23:44 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2021-04-01 01:23:44 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2021-04-01 01:23:44 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2021-04-01 01:23:44 configure ncurses-base:all 6.2-0ubuntu2 <none>
2021-04-01 01:23:44 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-04-01 01:23:44 status half-configured ncurses-base:all 6.2-0ubuntu2
2021-04-01 01:23:44 status installed ncurses-base:all 6.2-0ubuntu2
2021-04-01 01:23:44 configure sensible-utils:all 0.0.12+nmu1 <none>
2021-04-01 01:23:44 status unpacked sensible-utils:all 0.0.12+nmu1
2021-04-01 01:23:44 status half-configured sensible-utils:all 0.0.12+nmu1
2021-04-01 01:23:44 status installed sensible-utils:all 0.0.12+nmu1
2021-04-01 01:23:44 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2021-04-01 01:23:44 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-04-01 01:23:44 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-04-01 01:23:44 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-04-01 01:23:44 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2021-04-01 01:23:44 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
